Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.337,0.012,3.692%,8357600.00,,2023,1266,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$9.93,0.00,0.00%,20831531.00,United States,2003,30,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$5.09,0.00,0.00%,14354187.00,,2017,311,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$3.09,0.16,5.461%,81935067.00,United States,2017,15297,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.234,0.0015,0.645%,124001984.00,Canada,,384853,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.36,0.01,0.097%,0.00,United States,2002,22960,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.149,-0.0051,-3.31%,972866.00,United States,2007,692099,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.7499,0.0149,2.027%,16032862.00,,2023,37933,,
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$70.00,-1.00,-1.408%,8177470.00,United States,,376,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$0.9305,-0.0301,-3.133%,159308472.00,,2021,78664,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$3.16,0.11,3.607%,590518718.00,,2021,30939,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$2.47,0.14,6.009%,825896921.00,Canada,2003,144640,,
NGD,New Gold Inc.,$1.2499,0.0599,5.034%,856931440.00,Canada,,1761030,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$98.39,0.57,0.583%,1510285418.00,United States,1986,1617,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.0878,0.0178,0.221%,0.00,United States,,33950,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$7.03,0.08,1.151%,0.00,,2013,74793,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.34,0.02,1.515%,15783860.00,United States,,2159,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.2998,0.0398,1.221%,0.00,United States,2003,45219,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$3.38,-0.07,-2.029%,17878557.00,,2023,204,,
NTIP,Network-1 Technologies Inc. Common Stock,$2.16,0.01,0.465%,51042152.00,United States,,6889,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$7.055,0.035,0.499%,545376461.00,Canada,2022,36680,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$1.46,0.04,2.817%,3751302.00,United States,,103299,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.30,-0.0012,-0.398%,17636615.00,United States,2007,17932,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$3.33,0.10,3.096%,1047021930.00,,2020,79126,,
OZ,Belpointe PREP LLC Class A Units,$64.50,0.22,0.342%,237328524.00,,,3307,,
PAPL,Pineapple Financial Inc. Common Stock,$1.565,-0.005,-0.318%,11239805.00,,2023,4729,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$24.60,0.00,0.00%,,United States,,21,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$20.53,-0.5701,-2.702%,,United States,,871,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$19.50,0.30,1.563%,,United States,,120,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$19.22,-0.02,-0.104%,,United States,,6056,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$18.99,-0.01,-0.053%,,United States,,360,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$18.50,0.00,0.00%,,United States,,20,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$17.24,-0.01,-0.058%,,United States,,500,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$16.39,0.00,0.00%,,United States,,16,,
PED,Pedevco Corp. Common Stock,$0.735,0.0111,1.533%,64128946.00,United States,,1105,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.2003,-0.0148,-6.881%,9209740.00,,2019,136413,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
